Program,Characteristic,StakeHolder,StakeholderPart,Weight,x,y
JSF,1a,1636,,1,3,NA
JSF,1b,1636,,1,4,NA
JSF,1c,1636,,1,5,NA
JSF,2,1636,,1,5,NA
JSF,3,1636,,1,5,3
JSF,4,1636,,1,6,NA
JSF,5,1636,,1,4,NA
JSF,6,1636,,1,4,NA
JSF,7,1636,i,0.166666667,4,3
JSF,7,1636,ii,0.166666667,5,3
JSF,7,1636,iii,0.166666667,4,4
JSF,7,1636,iv,0.166666667,5,4
JSF,7,1636,v,0.166666667,4,5
JSF,7,1636,vi,0.166666667,5,5
JSF,8,1636,,1,NA,NA
JSF,1a,3141,,1,4,NA
JSF,1b,3141,i,0.5,2,NA
JSF,1b,3141,ii,0.5,3,NA
JSF,1c,3141,i,0.5,3,NA
JSF,1c,3141,ii,0.5,4,NA
JSF,2,3141,i,0.5,2,NA
JSF,2,3141,ii,0.5,3,NA
JSF,3,3141,i,0.5,5,3
JSF,3,3141,ii,0.5,5,4
JSF,4,3141,,1,5,NA
JSF,5,3141,,1,3,NA
JSF,6,3141,i,0.5,3,NA
JSF,6,3141,ii,0.5,4,NA
JSF,7,3141,,1,5,4
JSF,8,3141,,1,4,3
JSF,1a,3690,,1,5,NA
JSF,1b,3690,,1,3,NA
JSF,1c,3690,,1,5,NA
JSF,2,3690,,1,3,NA
JSF,3,3690,,1,NA,3
JSF,4,3690,,1,3,NA
JSF,5,3690,,1,2,NA
JSF,6,3690,,1,NA,NA
JSF,7,3690,,1,5,1
JSF,8,3690,,1,2,6
JSF,1a,4221,,1,3,NA
JSF,1b,4221,,1,4,NA
JSF,1c,4221,,1,4,NA
JSF,2,4221,,1,4,NA
JSF,3,4221,i,0.5,3,4
JSF,3,4221,ii,0.5,3,3
JSF,4,4221,i,0.5,2,NA
JSF,4,4221,ii,0.5,3,NA
JSF,5,4221,,1,3,NA
JSF,6,4221,,1,6,NA
JSF,7,4221,,1,6,5
JSF,8,4221,i,0.5,3,5
JSF,8,4221,ii,0.5,3,6
JSF,1a,4468,,1,4,NA
JSF,1b,4468,,1,3,NA
JSF,1c,4468,,1,2,NA
JSF,2,4468,,1,3,NA
JSF,3,4468,,1,5,3
JSF,4,4468,,1,6,NA
JSF,5,4468,,1,2,NA
JSF,6,4468,,1,5,NA
JSF,7,4468,,1,4,5
JSF,8,4468,,1,4,5
JSF,1a,5164,,1,5,NA
JSF,1b,5164,i,0.5,5,NA
JSF,1b,5164,ii,0.5,6,NA
JSF,1c,5164,,1,4,NA
JSF,2,5164,,1,6,NA
JSF,3,5164,,1,4,5
JSF,4,5164,,1,5,NA
JSF,5,5164,,1,4,NA
JSF,6,5164,,1,5,NA
JSF,7,5164,,1,5,5
JSF,8,5164,,1,2,4
JSF,1a,9996,,1,4,NA
JSF,1b,9996,,1,4,NA
JSF,1c,9996,,1,4,NA
JSF,2,9996,,1,4,NA
JSF,3,9996,,1,NA,4
JSF,4,9996,,1,3,NA
JSF,5,9996,,1,3,NA
JSF,6,9996,,1,4,NA
JSF,7,9996,i,0.166666667,4,3
JSF,7,9996,ii,0.166666667,5,3
JSF,7,9996,iii,0.166666667,4,4
JSF,7,9996,iv,0.166666667,5,4
JSF,7,9996,v,0.166666667,4,5
JSF,7,9996,vi,0.166666667,5,5
JSF,8,9996,,1,NA,NA
JSF,1a,8288,,1,5,NA
JSF,1b,8288,,1,5,NA
JSF,1c,8288,,1,5,NA
JSF,2,8288,,1,6,NA
JSF,3,8288,,1,5,5
JSF,4,8288,,1,6,NA
JSF,5,8288,,1,2,NA
JSF,6,8288,,1,5,NA
JSF,7,8288,,1,5,3
JSF,8,8288,,1,3,4
JSF,1a,4858,,1,5,NA
JSF,1b,4858,,1,5,NA
JSF,1c,4858,i,0.3333333,3,NA
JSF,1c,4858,ii,0.3333333,4,NA
JSF,1c,4858,iii,0.3333333,5,NA
JSF,2,4858,i,0.3333333,4,NA
JSF,2,4858,ii,0.3333333,5,NA
JSF,2,4858,iii,0.3333333,6,NA
JSF,3,4858,,1,6,5
JSF,4,4858,,1,6,NA
JSF,5,4858,i,0.5,4,NA
JSF,5,4858,ii,0.5,5,NA
JSF,6,4858,,1,5,NA
JSF,7,4858,,1,5,5
JSF,8,4858,,1,5,3
JSF,1a,8514,,1,5,NA
JSF,1b,8514,,1,5,NA
JSF,1c,8514,,1,5,NA
JSF,2,8514,,1,6,NA
JSF,3,8514,,1,5,5
JSF,4,8514,,1,NA,NA
JSF,5,8514,,1,2,NA
JSF,6,8514,,1,4,NA
JSF,7,8514,,1,5,4
JSF,8,8514,,1,5,2
