Program,Characteristic,Stakeholder,StakeholderPart,Weight,x,y
M777,1a,3443,i,0.333333333,4,NA
M777,1a,3443,ii,0.333333333,5,NA
M777,1a,3443,iii,0.333333333,6,NA
M777,1a,4713,,1,2,NA
M777,1a,4787,i,0.5,5,NA
M777,1a,4787,ii,0.5,6,NA
M777,1b,3443,i,0.333333333,3,NA
M777,1b,3443,ii,0.333333333,4,NA
M777,1b,3443,iii,0.333333333,5,NA
M777,1b,4713,i,0.5,2,NA
M777,1b,4713,ii,0.5,3,NA
M777,1b,4787,,1,2,NA
M777,1c,3443,i,0.5,3,NA
M777,1c,3443,ii,0.5,5,NA
M777,1c,4713,,1,3,NA
M777,1c,4787,i,0.5,4,NA
M777,1c,4787,ii,0.5,5,NA
M777,2,3443,,1,2,NA
M777,2,4713,,1,2,NA
M777,2,4787,,1,2,NA
M777,3,3443,,1,6,3
M777,3,4713,,1,1,1
M777,3,4787,,1,6,3
M777,4,3443,,1,1,NA
M777,4,4713,,1,5,NA
M777,4,4787,,1,6,NA
M777,5,3443,,1,3,NA
M777,5,4713,,1,4,NA
M777,5,4787,,1,4,NA
M777,6,3443,,1,6,NA
M777,6,4713,,1,5,NA
M777,6,4787,,1,5,NA
M777,7,3443,i,0.5,4,4
M777,7,3443,ii,0.5,5,4
M777,7,4713,i,0.5,1,3
M777,7,4713,ii,0.5,1,4
M777,7,4787,,1,5,3
M777,8,3443,i,0.5,4,4
M777,8,3443,ii,0.5,4,5
M777,8,4713,i,0.5,2,2
M777,8,4713,ii,0.5,2,5
M777,8,4787,,1,5,3
