Program,Characteristic,Stakeholder,StakeholderPart,Weight,x,y
MEADS,1a,3524,,1,3,NA
MEADS,1b,3524,,1,5,NA
MEADS,1c,3524,,1,6,NA
MEADS,2,3524,,1,5,NA
MEADS,3,3524,,1,5,3
MEADS,4,3524,,1,6,NA
MEADS,5,3524,,1,2,NA
MEADS,6,3524,,1,5,NA
MEADS,7,3524,,1,4,5
MEADS,8,3524,,1,5,5
MEADS,1a,5014,,1,5,NA
,1b,5014,,0.5,5,NA
MEADS,1b,5014,,0.5,6,NA
MEADS,1c,5014,,0.5,5,NA
MEADS,1c,5014,,0.5,6,NA
MEADS,2,5014,,1,6,NA
MEADS,3,5014,,0.33333,6,2
MEADS,3,5014,,0.333333,6,3
MEADS,3,5014,,0.333333,6,6
MEADS,4,5014,,0.5,5,NA
MEADS,4,5014,,0.5,6,NA
MEADS,5,5014,,0.5,3,NA
MEADS,5,5014,,0.5,4,NA
MEADS,6,5014,,1,4,NA
MEADS,7,5014,,1,5,3
MEADS,8,5014,,0.5,2,3
MEADS,8,5014,,0.5,2,6
MEADS,1a,5623,,0.5,4,NA
MEADS,1a,5623,,0.5,5,NA
MEADS,1b,5623,,1,5,NA
MEADS,1c,5623,,1,5,NA
MEADS,2,5623,,1,6,NA
MEADS,3,5623,,1,5,5
MEADS,4,5623,,1,6,NA
MEADS,5,5623,,1,3,NA
MEADS,6,5623,,1,5,NA
MEADS,7,5623,,1,5,3
MEADS,8,5623,,,2,5
