Program,Characteristic,Stakeholder,StakeholderPart,Weight,x,y
SM3,1a,4150,,1,4,NA
SM3,1b,4150,,1,6,NA
SM3,1c,4150,,1,5,NA
SM3,2,4150,,1,6,NA
SM3,3,4150,,1,5,3
SM3,4,4150,,1,1,NA
SM3,5,4150,,1,3,NA
SM3,6,4150,,1,5,NA
SM3,7,4150,,1,4,1
SM3,8,4150,,0.5,5,2
SM3,8,4150,,0.5,6,2
SM3,1a,9419,,0.5,3,NA
SM3,1a,9419,,0.5,4,NA
SM3,1b,9419,,0.5,5,NA
SM3,1b,9419,,0.5,6,NA
SM3,1c,9419,,0.5,3,NA
SM3,1c,9419,,0.5,4,NA
SM3,2,9419,,1,6,NA
SM3,3,9419,,0.5,6,2
SM3,3,9419,,0.5,6,3
SM3,4,9419,,1,NA,NA
SM3,5,9419,,0.5,3,NA
SM3,5,9419,,0.5,4,NA
SM3,6,9419,,0.5,4,NA
SM3,6,9419,,0.5,5,NA
SM3,7,9419,,0.5,3,3
SM3,7,9419,,0.5,4,3
SM3,8,9419,,1,5,NA
SM3,1a,4630,,1,5,NA
SM3,1b,4630,,1,5,NA
SM3,1c,4630,,1,5,NA
SM3,2,4630,,1,NA,NA
SM3,3,4630,,1,2,3
SM3,4,4630,,1,NA,NA
SM3,5,4630,,1,NA,NA
SM3,6,4630,,1,5,NA
SM3,7,4630,,1,5,4
SM3,8,4630,,1,3,2
